['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2013-12-12', '3: 2014-03-24', '4: 2015-05-27', '5: 2017-09-15', '6: 2018-02-19', '7: 2019-05-22', '8: 2019-08-13', '9: 2021-04-06', '10: 2021-07-10', '11: 2022-01-03', '12: 2022-05-25', '13: 2024-02-28', '14: 2024-03-08', '15: 1994-07-02', '16: 1997-08-13', '17: 1997-11-16', '18: 2021-02-20', 'Count']
['2000-03-11 16:46:23', "(Pluto,252.898,(r)) (H3,252.952,(d)) (conjunction,3')\n(Mars,21.599,(r)) (H10,81.664,(c)) (sextile,4')", '1', "(H10,89.349,(r)) (Saturn,29.291,(c)) (sextile,4')", '3', "(H10,89.349,(r)) (Pluto,269.225,(d)) (opposition,7')", "(Sun,351.420,(r)) (H3,261.338,(d)) (square,5')", "(Moon,60.593,(r)) (H4,285.648,(d)) (135-sesquisquare,3')\n(Pluto,252.898,(r)) (H4,253.032,(c)) (conjunction,8')", "(H3,244.866,(r)) (Saturn,64.706,(d)) (opposition,10')\n(Mercury,333.305,(r)) (H1,153.325,(c)) (opposition,1')\n(Mean_Node,121.323,(r)) (H12,121.339,(c)) (conjunction,1')", "(H3,244.866,(r)) (Saturn,64.931,(d)) (opposition,4')", '9', "(Uranus,318.718,(r)) (H10,108.761,(d)) (150-quincunx,3')\n(Saturn,43.359,(r)) (H9,43.389,(c)) (conjunction,2')", "(H1,179.018,(r)) (Mercury,358.903,(d)) (opposition,7')\n(H10,89.349,(r)) (Jupiter,59.375,(d)) (30-semisextile,2')", "(H10,89.349,(r)) (Mercury,359.402,(d)) (square,3')", '13', '14', "(H1,179.018,(r)) (Sun,359.047,(d)) (opposition,2')\n(Sun,351.420,(r)) (H1,171.264,(c)) (opposition,9')", '16', "(Mars,21.599,(r)) (H5,291.528,(c)) (square,4')\n(H1,179.018,(r)) (Mean_Node,119.015,(c)) (sextile,0')", '18', 361]
['2000-03-11 10:39:19', "(H10,357.028,(r)) (Neptune,296.999,(c)) (sextile,2')", "(H3,142.582,(r)) (Mercury,322.613,(c)) (opposition,2')", "(H3,142.582,(r)) (Mars,7.587,(c)) (135-sesquisquare,0')", "(Moon,57.019,(r)) (H4,192.077,(d)) (135-sesquisquare,3')", "(Saturn,43.334,(r)) (H10,13.329,(d)) (30-semisextile,0')", '5', '6', "(Sun,351.166,(r)) (H12,36.134,(c)) (45-semisquare,2')\n(H1,76.534,(r)) (Neptune,286.622,(c)) (150-quincunx,5')\n(H10,357.028,(r)) (Mercury,312.065,(c)) (45-semisquare,2')", "(Mars,21.409,(r)) (H10,336.370,(c)) (45-semisquare,2')", "(H10,357.028,(r)) (Mars,42.077,(d)) (45-semisquare,3')", '10', '11', "(Pluto,252.897,(r)) (H12,72.859,(d)) (opposition,2')\n(H10,357.028,(r)) (Mercury,357.053,(d)) (conjunction,1')\n(Mercury,333.394,(r)) (H10,333.467,(c)) (conjunction,4')\n(Mercury,333.394,(r)) (H12,33.397,(c)) (sextile,0')", "(H4,177.028,(r)) (Jupiter,57.059,(d)) (trine,2')\n(H4,177.028,(r)) (Mean_Node,147.103,(d)) (30-semisextile,5')", "(H10,357.028,(r)) (Jupiter,57.082,(d)) (sextile,3')", "(Mars,21.409,(r)) (H1,81.493,(d)) (sextile,5')\n(H10,357.028,(r)) (Mars,27.111,(d)) (30-semisextile,5')", "(Uranus,318.705,(r)) (H1,78.771,(d)) (trine,4')", "(H1,76.534,(r)) (Uranus,316.608,(c)) (trine,4')", "(H4,177.028,(r)) (Mars,41.959,(d)) (135-sesquisquare,4')", 296]
['2000-03-11 03:02:07', "(H1,335.559,(r)) (Saturn,35.492,(c)) (sextile,4')", "(Pluto,252.897,(r)) (H4,72.984,(d)) (opposition,5')", '2', '3', "(Uranus,318.689,(r)) (H10,258.643,(d)) (sextile,3')", "(Sun,350.849,(r)) (H1,350.954,(d)) (conjunction,6')", "(H4,64.622,(r)) (Uranus,334.641,(d)) (square,1')\n(H4,64.622,(r)) (Sun,334.544,(c)) (square,5')", '7', "(Moon,52.576,(r)) (H1,352.641,(d)) (sextile,4')\n(Mars,21.173,(r)) (H3,51.173,(d)) (30-semisextile,0')\n(Uranus,318.689,(r)) (H1,318.761,(c)) (conjunction,4')\n(H10,244.622,(r)) (Moon,34.600,(c)) (150-quincunx,1')", "(Moon,52.576,(r)) (H3,52.700,(d)) (conjunction,7')\n(H3,32.793,(r)) (Moon,32.951,(c)) (conjunction,9')", '10', '11', "(H10,244.622,(r)) (Saturn,64.510,(d)) (opposition,7')\n(Saturn,43.304,(r)) (H10,223.226,(c)) (opposition,5')", '13', '14', '15', '16', "(H1,335.559,(r)) (Mercury,335.727,(d)) (conjunction,10')\n(Mercury,333.516,(r)) (H1,333.540,(c)) (conjunction,1')", "(Pluto,252.897,(r)) (H8,162.886,(c)) (square,1')", 301]
['2000-03-11 12:58:31', "(Pluto,252.898,(r)) (H10,42.984,(d)) (150-quincunx,5')\n(H1,109.090,(r)) (Pluto,259.143,(d)) (150-quincunx,3')\n(H1,109.090,(r)) (Pluto,244.022,(c)) (135-sesquisquare,4')", "(Moon,58.373,(r)) (H7,298.366,(d)) (trine,0')\n(Pluto,252.898,(r)) (H3,192.935,(d)) (sextile,2')", "(Mercury,333.359,(r)) (H3,198.333,(d)) (135-sesquisquare,2')", "(Uranus,318.710,(r)) (H3,198.650,(d)) (trine,4')\n(H7,289.090,(r)) (Jupiter,49.082,(d)) (trine,0')\n(Mean_Node,121.332,(r)) (H3,166.363,(c)) (45-semisquare,2')", "(Uranus,318.710,(r)) (H10,18.620,(c)) (sextile,5')\n(H3,182.544,(r)) (Uranus,302.613,(c)) (trine,4')", "(H10,34.431,(r)) (Venus,349.497,(d)) (45-semisquare,4')", '6', '7', '8', '9', "(H1,109.090,(r)) (Saturn,64.124,(d)) (45-semisquare,2')\n(Neptune,305.690,(r)) (H12,65.720,(c)) (trine,2')", '11', "(Pluto,252.898,(r)) (H1,132.991,(d)) (trine,6')\n(Pluto,252.898,(r)) (H9,27.813,(d)) (135-sesquisquare,5')", '13', '14', '15', "(H8,325.567,(r)) (Venus,325.393,(c)) (conjunction,10')", "(Mars,21.481,(r)) (H1,111.420,(d)) (square,4')\n(H4,214.431,(r)) (Mercury,334.477,(d)) (trine,3')\n(H5,240.835,(r)) (Moon,60.791,(d)) (opposition,3')\n(H1,109.090,(r)) (Mars,19.050,(c)) (square,2')", "(Venus,327.600,(r)) (H4,192.526,(c)) (135-sesquisquare,4')", 264]
['2000-03-11 07:40:00', "(Uranus,318.699,(r)) (H12,3.770,(c)) (45-semisquare,4')", "(Uranus,318.699,(r)) (H4,138.780,(d)) (opposition,5')\n(Mean_Node,121.343,(r)) (H4,121.196,(c)) (conjunction,9')", "(H1,37.608,(r)) (Sun,337.632,(c)) (sextile,1')\n(H3,97.611,(r)) (Sun,337.632,(c)) (trine,1')", '3', "(Moon,55.275,(r)) (H10,295.364,(c)) (trine,5')", "(Venus,327.326,(r)) (H10,327.382,(d)) (conjunction,3')", '6', "(H10,309.874,(r)) (Sun,9.911,(d)) (sextile,2')\n(H1,37.608,(r)) (Moon,37.711,(c)) (conjunction,6')", "(H1,37.608,(r)) (Moon,37.510,(c)) (conjunction,6')", "(Mean_Node,121.343,(r)) (H12,31.265,(d)) (square,5')", '10', "(H10,309.874,(r)) (Mercury,354.941,(d)) (45-semisquare,4')\n(Uranus,318.699,(r)) (H1,18.645,(c)) (sextile,3')", '12', "(H4,129.874,(r)) (Mercury,309.697,(c)) (opposition,11')", '14', "(H8,246.765,(r)) (Mean_Node,126.855,(d)) (trine,5')", '16', '17', "(Moon,55.275,(r)) (H8,265.254,(d)) (150-quincunx,1')", 269]
['2000-03-11 15:49:35', "(H1,159.528,(r)) (Moon,69.563,(d)) (square,2')", "(Venus,327.746,(r)) (H7,327.874,(c)) (conjunction,8')\n(H7,339.528,(r)) (Sun,339.578,(c)) (conjunction,3')", "(Sun,351.381,(r)) (H12,141.415,(d)) (150-quincunx,2')\n(H3,230.520,(r)) (Neptune,320.579,(d)) (square,4')", "(H3,230.520,(r)) (Jupiter,50.629,(d)) (opposition,7')\n(H4,256.236,(r)) (Mean_Node,136.224,(d)) (trine,1')\n(Mercury,333.318,(r)) (H4,243.252,(c)) (square,4')", "(Moon,60.039,(r)) (H1,180.059,(d)) (trine,1')\n(Moon,60.039,(r)) (H10,90.039,(d)) (30-semisextile,0')\n(Neptune,305.693,(r)) (H3,245.602,(d)) (sextile,5')\n(H1,159.528,(r)) (Mars,39.493,(d)) (trine,2')\n(H10,76.236,(r)) (Mean_Node,106.296,(c)) (30-semisextile,4')", "(Moon,60.039,(r)) (H10,59.972,(c)) (conjunction,4')", "(Uranus,318.716,(r)) (H7,3.791,(d)) (45-semisquare,5')\n(H3,230.520,(r)) (Mean_Node,140.569,(d)) (square,3')", "(Uranus,318.716,(r)) (H10,93.645,(d)) (135-sesquisquare,4')\n(H10,76.236,(r)) (Neptune,286.287,(c)) (150-quincunx,3')", '8', "(Saturn,43.355,(r)) (H1,133.262,(c)) (square,6')", "(H10,76.236,(r)) (Mars,46.297,(d)) (30-semisextile,4')\n(Pluto,252.898,(r)) (H1,132.960,(c)) (trine,4')", '11', '12', "(H4,256.236,(r)) (Venus,301.163,(c)) (45-semisquare,4')", '14', "(Sun,351.381,(r)) (H10,81.421,(d)) (square,2')", "(Pluto,252.898,(r)) (H1,162.947,(d)) (square,3')\n(H8,18.966,(r)) (Moon,63.962,(d)) (45-semisquare,0')\n(H4,256.236,(r)) (Uranus,316.318,(c)) (sextile,5')", "(H1,159.528,(r)) (Mars,24.490,(d)) (135-sesquisquare,2')\n(Mars,21.569,(r)) (H1,156.484,(c)) (135-sesquisquare,5')", "(Saturn,43.355,(r)) (H8,43.508,(d)) (conjunction,9')\n(H8,18.966,(r)) (Sun,19.066,(d)) (conjunction,6')\n(Saturn,43.355,(r)) (H1,133.406,(c)) (square,3')", 443]
['2000-03-11 15:00:31', "(Saturn,43.352,(r)) (H1,133.383,(c)) (square,2')", "(Pluto,252.898,(r)) (H4,253.068,(d)) (conjunction,10')", "(H3,217.445,(r)) (Mars,37.338,(d)) (opposition,6')\n(Mars,21.544,(r)) (H10,51.617,(c)) (30-semisextile,4')", "(Sun,351.347,(r)) (H4,231.346,(c)) (trine,0')\n(H4,244.709,(r)) (Jupiter,19.703,(c)) (135-sesquisquare,0')", "(Uranus,318.714,(r)) (H10,78.727,(d)) (trine,1')\n(Neptune,305.692,(r)) (H1,125.739,(c)) (opposition,3')", "(Mean_Node,121.327,(r)) (H1,166.239,(d)) (45-semisquare,5')", "(H3,217.445,(r)) (Venus,307.483,(c)) (square,2')", "(Mean_Node,121.327,(r)) (H1,121.374,(c)) (conjunction,3')", "(H1,143.562,(r)) (Saturn,23.556,(c)) (trine,0')", '9', "(Mercury,333.330,(r)) (H12,93.281,(c)) (trine,3')", '11', "(Saturn,43.352,(r)) (H10,43.320,(c)) (conjunction,2')", '13', '14', '15', '16', '17', "(Moon,59.561,(r)) (H1,119.493,(c)) (sextile,4')\n(Uranus,318.714,(r)) (H12,93.631,(c)) (135-sesquisquare,5')", 260]
['2000-03-11 02:50:47', '0', "(H4,61.916,(r)) (Moon,61.989,(d)) (conjunction,4')", "(Saturn,43.303,(r)) (H3,43.174,(d)) (conjunction,8')\n(Mars,21.167,(r)) (H1,321.151,(c)) (sextile,1')\n(Uranus,318.688,(r)) (H10,228.717,(c)) (square,2')\n(H10,241.916,(r)) (Pluto,242.090,(c)) (conjunction,10')", "(Sun,350.841,(r)) (H7,140.911,(c)) (150-quincunx,4')\n(H4,61.916,(r)) (Pluto,241.823,(c)) (opposition,6')", "(Mean_Node,121.354,(r)) (H1,346.375,(d)) (135-sesquisquare,1')\n(H1,333.046,(r)) (Mean_Node,107.958,(c)) (135-sesquisquare,5')", '5', "(H7,153.046,(r)) (Uranus,303.003,(c)) (150-quincunx,3')", "(Mars,21.167,(r)) (H12,321.194,(d)) (sextile,2')\n(H10,241.916,(r)) (Saturn,61.845,(d)) (opposition,4')\n(Saturn,43.303,(r)) (H10,223.352,(c)) (opposition,3')\n(H10,241.916,(r)) (Uranus,301.921,(c)) (sextile,0')", "(H10,241.916,(r)) (Saturn,62.055,(d)) (opposition,8')\n(Saturn,43.303,(r)) (H10,223.126,(c)) (opposition,11')\n(H1,333.046,(r)) (Sun,333.107,(c)) (conjunction,4')", '9', "(H9,210.003,(r)) (Uranus,300.075,(c)) (square,4')\n(H10,241.916,(r)) (Neptune,286.976,(c)) (45-semisquare,4')", '11', "(Mars,21.167,(r)) (H9,231.080,(d)) (150-quincunx,5')", "(H3,30.003,(r)) (Moon,29.889,(c)) (conjunction,7')", "(H3,30.003,(r)) (Moon,29.863,(c)) (conjunction,8')", '15', '16', '17', "(Mars,21.167,(r)) (H4,81.241,(d)) (sextile,4')", 389]
['2000-03-11 02:56:08', '0', "(Moon,52.517,(r)) (H3,22.508,(c)) (30-semisextile,1')", "(Mean_Node,121.354,(r)) (H1,346.289,(d)) (135-sesquisquare,4')\n(H1,334.228,(r)) (Mean_Node,109.222,(c)) (135-sesquisquare,0')", '3', "(Uranus,318.688,(r)) (H12,318.821,(d)) (conjunction,8')\n(Uranus,318.688,(r)) (H10,228.622,(c)) (square,4')", "(Jupiter,34.671,(r)) (H1,349.606,(d)) (45-semisquare,4')\n(H1,334.228,(r)) (Uranus,334.210,(d)) (conjunction,1')", "(Jupiter,34.671,(r)) (H4,79.744,(d)) (45-semisquare,4')\n(H3,31.318,(r)) (Pluto,271.264,(d)) (trine,3')\n(Uranus,318.688,(r)) (H7,138.721,(c)) (opposition,2')", "(Sun,350.845,(r)) (H10,260.881,(d)) (square,2')\n(Mars,21.170,(r)) (H1,351.091,(d)) (30-semisextile,5')", "(Mars,21.170,(r)) (H10,261.088,(d)) (trine,5')\n(H10,243.192,(r)) (Sun,333.157,(c)) (square,2')", "(Moon,52.517,(r)) (H10,262.584,(d)) (150-quincunx,4')\n(Pluto,252.897,(r)) (H10,222.836,(c)) (30-semisextile,4')", '10', "(H3,31.318,(r)) (Venus,346.331,(d)) (45-semisquare,1')", '12', '13', '14', '15', "(Neptune,305.678,(r)) (H4,65.603,(d)) (trine,4')", "(Mars,21.170,(r)) (H1,336.248,(d)) (45-semisquare,5')", "(Moon,52.517,(r)) (H4,82.472,(d)) (30-semisextile,3')\n(Pluto,252.897,(r)) (H4,42.958,(c)) (150-quincunx,4')", 251]
['2000-03-11 11:10:00', '0', "(Mean_Node,121.336,(r)) (H7,271.424,(d)) (150-quincunx,5')\n(H3,151.081,(r)) (Sun,1.170,(d)) (150-quincunx,5')\n(Sun,351.187,(r)) (H3,141.273,(c)) (150-quincunx,5')", "(Neptune,305.687,(r)) (H1,95.773,(d)) (150-quincunx,5')\n(H10,5.404,(r)) (Neptune,320.363,(d)) (45-semisquare,2')\n(Neptune,305.687,(r)) (H10,350.643,(c)) (45-semisquare,3')", '3', "(Mars,21.425,(r)) (H10,21.587,(d)) (conjunction,10')\n(H1,83.348,(r)) (Pluto,263.223,(d)) (opposition,8')", '5', '6', "(H3,151.081,(r)) (Saturn,61.039,(d)) (square,2')\n(Saturn,43.336,(r)) (H12,43.175,(c)) (conjunction,10')", "(Pluto,252.897,(r)) (H12,42.971,(c)) (150-quincunx,4')", "(Uranus,318.706,(r)) (H12,78.732,(d)) (trine,2')\n(Pluto,252.897,(r)) (H10,342.850,(c)) (square,3')", "(Pluto,252.897,(r)) (H1,102.935,(d)) (150-quincunx,2')\n(Pluto,252.897,(r)) (H10,27.980,(d)) (135-sesquisquare,5')\n(H1,83.348,(r)) (Saturn,23.329,(c)) (sextile,1')", '11', '12', "(H4,185.404,(r)) (Moon,35.361,(c)) (150-quincunx,3')", "(H10,5.404,(r)) (Moon,35.339,(c)) (30-semisextile,4')", "(Saturn,43.336,(r)) (H1,88.414,(d)) (45-semisquare,5')\n(H8,295.755,(r)) (Mean_Node,115.584,(c)) (opposition,10')", '16', '17', "(Venus,327.506,(r)) (H1,102.566,(d)) (135-sesquisquare,4')\n(Venus,327.506,(r)) (H4,207.582,(d)) (trine,5')\n(Uranus,318.706,(r)) (H12,78.623,(d)) (trine,5')\n(Neptune,305.687,(r)) (H8,275.686,(c)) (30-semisextile,0')\n(Pluto,252.897,(r)) (H4,162.981,(c)) (square,5')", 298]
